id,datetime,problemtype,productname,url,comment
1,"18.03.2022 18:23","Малварь",Kinoko,https://f-droid.org/en/packages/com.ero.kinoko/,"После последнего обновления напрочь убил телефон. Пока единичный случай."
2,"18.03.2022 11:04","Малварь",Onefetch,https://github.com/o2sh/onefetch,"При установке программы подменяет библиотеку libgcc_s.so.1, система перестает отвечать и после перезагрузки система выдает ошибку kernel panic. Проблема не подтверждена. Вредоносных коммитов не обнаружено."
3,"18.03.2022 10:46","Другое",https://github.com/Yaffle/EventSource,https://github.com/Yaffle/EventSource/commit/de137927e13d8afac153d2485152ccec48948a7a,https://github.com/Yaffle/EventSource/issues/199
4,"17.03.2022 15:19","Другое",RedisDesktopManager,https://github.com/uglide/RedisDesktopManager/commit/8b2b357d9d233100f84a69f81ed22b8caa04fa22,"как бы чего еще туда не заложили вредного"
5,"17.03.2022 14:00","Сломанная сборка",https://packagist.org/packages/fomvasss/laravel-dadata,https://github.com/fomvasss/laravel-dadata,"Удален с github"
6,"17.03.2022 13:33","Бэкдор","WordPress плагин Mistape",https://wordpress.org/plugins/mistape/,"Через уязвимость в популярном плагине Mistape злоумышленник получает доступ к разделам администратора, заливает плагин UnderConstruction, с помощью которого на главную страницу сайта выводит произвольную информацию. Обычно это виджет на тему текущих событий в Украине. Автор плагина 24 февраля внёс в него изменения. Дождался, пока обновление разойдётся по пользователям и начал через несколько дней эксплуатировать занесённую туда уязвимость."
7,"17.03.2022 13:29","Бэкдор","Глянец",https://drupal.ru/glyanec-scam,"Компания «Глянец» встраивает на сайты клиентов вредоносный код для обхода защиты и получения полного доступа к сайтам. Они называют это «сервисным входом». 26 февраля руководитель «Глянец» Заика Анатолий в публичном телеграм-чате заявил, что российские сайты, созданные в его компании, будут «взломаны»."
8,"17.03.2022 12:56","Сломанная сборка",yandex-php-library,https://github.com/nixsolutions/yandex-php-library/blob/master/README.md,"Заметил проблему с библиотекой дней 10 назад"
9,"17.03.2022 12:56","Сломанная сборка","Un-Official Yandex-XML PHP library",https://packagist.org/packages/anton-shevchuk/yandex-xml-library,"В packagist добавлена версия пакета с политическим лозунгом, а исходники удалены из гитхаба. Результат - поломаная сборка проекта"
10,"17.03.2022 8:16","Малварь",node-ipc,https://github.com/RIAEvangelist/node-ipc/issues/233,"https://github.com/RIAEvangelist/node-ipc/issues/233 В библиотеку node-ipc добавили шифровальщик для ip России и Белоруссии https://github.com/RIAEvangelist/node-ipc/blob/847047cf7f81ab08352038b2204f0e7633449580/dao/ssl-geospec.js	 Оно реально всю фс закидывает сердечками, если ты из России и Беларуси. Причем вручную поставили 25% вероятности в начале таймаута, чтобы эта штука была больше похоже на плавающий баг, чем на что-то намеренное. https://github.com/RIAEvangelist/node-ipc/commit/1220522453a0388cb4af1a74fe9a0482b6b3a9f3	Оригинальный ресерч автора самого первого issue, который расследовал действие кода. Сейчас его issue потёр автор node-ipc, поэтому исследователь переехал в gist: https://gist.github.com/MidSpike/f7ae3457420af78a54b38a31cc0c809c По ссылке есть таймлайн события, расследования и меры минимизации ущерба. Появились сообщения о том, что уязвимость откатили https://github.com/arendst/Tasmota/commit/ba32044bb25b820a104428585bf4c91c4e927f88 , https://github.com/arendst/Tasmota/commit/b4f99bb74704e4a5f85b7ba9e03b126bf1c43320"
11,"17.03.2022 2:02","Малварь",https://github.com/RIAEvangelist/peacenotwar,https://github.com/RIAEvangelist/peacenotwar,"Сама библиотека удаляющая файловую систему по IP из России и Белоруссии"
12,"16.03.2022 18:10","Малварь",es5-ext,https://github.com/medikoo/es5-ext/commit/28de285ed433b45113f01e4ce7c74e9a356b2af2,"Коллеги, обращаем внимание, что популярная библиотека https://www.npmjs.com/package/es5-ext которая не обновлялась до этого 2 года начала получать регулярные обновления которые содержат как негативную пропаганду, так и код по таймзоне увеличивающий утилизацию ресурсов. Смотреть файл - _postinstall.js"
13,"22.03.2022 20:41","Лозунги",pgcli,https://github.com/dbcli/pgcli/commit/6884c298e6845a4d870ac815a1ed269063fe3ddc,#StandWithUkraine
14,"22.03.2022 19:42","Лозунги",Security-Code-Scan,https://github.com/security-code-scan/security-code-scan/releases/tag/5.6.2,"I'm the author. :)"
15,"22.03.2022 19:26","Лозунги",PHPUnit,https://github.com/sebastianbergmann/phpunit/commit/4634e702b5f05f5e948e531eb8b4fc19be40610c,#StandWithUkraine
16,"22.03.2022 19:16","Лозунги","PHPUnit 9.5.19",https://packagist.org/packages/phpunit/phpunit,"PHPUnit 9.5.19 #StandWithUkraine"
17,"22.03.2022 16:44","Лозунги",https://piccy.info/,https://piccy.info/,"Сообщение """"""Сайт не работает, потому что"" Россия напала на нас и начинает уничтожать ""мирное население"""""""
18,"22.03.2022 15:56","Лозунги",UpdatePack7R2,https://blog.simplix.info/,"""Нет пуша. В сборке от 11.03 при работе в системе с заданными TZ из России или Беларуси выбивает окно """"ваша страна поддерживает войну..."""" и работа завершается."""
19,"22.03.2022 15:05","Лозунги",WebdriverIO,https://github.com/webdriverio/webdriverio/commit/efd781a7ba432bae7720de03704f6a12409da978,"StandWithUkraine banner in в README.md"
20,"22.03.2022 15:04","Лозунги","Instant Games Bridge",https://github.com/mewtongames/instant-games-bridge,"Вместо баннеров показываются призывы к революции"
21,"22.03.2022 14:05","Лозунги","VK Blue - плагин Google Chrome",https://chrome.google.com/webstore/detail/vk-blue-%D1%8D%D0%BA%D0%B2%D0%B0%D0%BB%D0%B0%D0%B9%D0%B7%D0%B5%D1%80-%D0%B8-%D1%81%D0%BA%D1%80%D0%BE/pckkddchhdhkfapanbkcalloijbbjhbd,"Плагин для прослушивания музыки ВК. После установки показывает это: https://ibb.co/P91dP36"
22,"22.03.2022 12:47","Лозунги",Yad,https://github.com/v1cont/yad/commit/e38f7fa71aa9b2dff408ae14ca7133e4fdc4b02a,"""Вырезание русского языка, """"DROP K HUJAM russian translation"""" (https://github.com/v1cont/yad/commit/f14f5fc497827871e314c5c7b68d12a4de827d46); Автор - Украинец, который находится в резерве сил территориальной обороны (https://github.com/v1cont/yad/issues/107#issuecomment-1062908246), """"Цели последнего выпуска были в первую очередь политическими и этическими, а не техническими. основной причиной было удаление русского перевода из yad."""""""
23,"22.03.2022 6:14","Лозунги","Svelte (https://svelte.dev/) и Svelte-Kit (https://kit.svelte.dev/)",-,"Баннер на сайте в поддержку Украины"
24,"22.03.2022 1:56","Лозунги",outdatedregime/change,https://github.com/outdatedregime/change/commit/f22e7f90a5bb8fe2b8f0001d9774fe495084d234,"Block people visiting your website from Russia, redirect them to a page telling them their Regime is outdated and offering them unbiased news sources in their language."
25,"22.03.2022 1:53","Лозунги",in-solidarity-with-ukraine,https://github.com/core-hacked/in-solidarity-with-ukraine/commit/60af44e10440e5fed49aea4e80d84530e46c6ab8,"""A simple repository with HTML/CSS Ukraine flag and """"stop war"""" text on it."""
26,"22.03.2022 1:51","Лозунги",ukrfetch,https://github.com/ukrfetch/ukrfetch/commit/362853d86a64d093c5ddb8d11d8d06ec69cd7c7c,"Simple fetch tool to show Solidarity with Ukraine"
27,"22.03.2022 1:42","Лозунги",Russia-Blocker,https://github.com/Riceblade/Russia-Blocker/commit/ec9b3cd026f28f592c1cf3620da799e6f4f914ec,"Automatically redirects Russian connections to ukrainian charities"
28,"22.03.2022 1:36","Лозунги",hands-off-ukraine-banner,https://github.com/filipe-freire/hands-off-ukraine-banner/commit/5a1fa52f04022971fdcc738d4b1d58c9371c1769,"This banner includes easy access links to support Ukraine against the deliberate military invasion of Russia. It was built as a Web Component to facilitate its integration between all the frontend library/frameworks used."
29,"22.03.2022 1:31","Лозунги",embargoed-list,https://github.com/rameerez/embargoed-list/blob/main/README.md,"List of all language-specific versions of embargoed, software to block to block all requests from Russia to any website and display a pro-Ukraine message instead"
30,"22.03.2022 1:27","Лозунги",hejny/Ukraine,https://github.com/hejny/Ukraine/commit/e74a5de837d6ed0e2e11e174f4319a5ededc7c28,"Add ribbon with Ukraine flag into the website you manage, show the anti-war message to Russian users, or block them from your service."
31,"22.03.2022 1:24","Лозунги","RussianBlocker Public",https://github.com/OB42/RussianBlocker/commit/10e0ab31f0e0f8372fb24d32544e7e4867d3f688,"Detect Russian and Belarussian visitors to block or alert them to protest the war in Ukraine(works by checking timezone and languages as this is the easiest way to do it unlimitedly for free on the frontend, should work 9 times out of 10, except for a few russians near the border)"
32,"22.03.2022 1:13","Лозунги",PutinWantedPoster,https://github.com/snippetboy/PutinWantedPoster/commit/fbafce5e49d22c660d9da78919f035b812cced13,"Putin Wanted Poster"
33,"22.03.2022 1:10","Лозунги",express-putin,https://github.com/limesquid/express-putin/commit/b3eb6eae757d74d1a8241bc5dd6773dae6920fb2,"Node.js Express middleware to reject requests from all Russian IPs."
34,"22.03.2022 0:57","Лозунги",yandex-conqueror,https://github.com/piotrmaslanka/yandex-conqueror/commit/a2f5d01f9a367b22dbafbcb2a9643cb73d2365a1,"A tool to inform the general Russian population about what's going on in year 2022 on Ukraine via posting 5-star reviews to Yandex."
35,"22.03.2022 0:47","Лозунги","stopwarstopputin Wordpress plugin",https://github.com/stopwarstopputin/swsp-wordpress-plugin/commit/6e75e015fc17186b6e1a0592f02189d5b991805a,"The Stop War! Stop Putin! WordPress Plugin allows you to block all visitors from Russia & Belarus and display a custom message to stand up against Putin and to stop war."
36,"21.03.2022 16:05","Лозунги",voku/portable-ascii,https://github.com/voku/portable-ascii/commit/377ab19df364e512cb6e49b8c7d026f5b550ac92,"Все пакеты в packagist от пользователя voku: https://packagist.org/packages/voku/ Конкретно у этого более 66 млн. инсталляций"
37,"21.03.2022 15:28","Лозунги",event-source-polyfill,https://github.com/Yaffle/EventSource/commit/de137927e13d8afac153d2485152ccec48948a7a,"javascript либа. Начиная с версии 1.0.26 выводит alert() на странице."
38,"21.03.2022 14:36","Лозунги",https://leafletjs.com/,https://leafletjs.com/,"На сайте популярной библиотки leafletjs появился политический лозунг"
39,"21.03.2022 13:14","Лозунги",PHPMailer,https://github.com/PHPMailer/PHPMailer,"Баннер в README."
